"TotLoop";"LoopNormInter";"TotCollateralETH";"OldcollateralETH";"OldCollateralUSD";"TotCollateralUSD";"NewCreditUSD";"NewCollateralETH";"TotCreditUSD";"NetRevenueUSD";"NewKeet10pctUSD";"TotKeet10pctUSD";"OraclePrice";"Leverage";"CollLoanRatio";"LoanCollRatio";"LiquidPreisMaxMint";"EndLiquidPriceUSD";"StartSoftLiquidUSD";"leverageEfficiency";"MaxCollUSDwSaftyPrice";"MaxCollUSD"
"0";"100";"            8.85";"            5.00";"           9’315";"          16’488";"       7’970";"            3.85";"       7’970";"      9’315";"            797";"            797";"      1’863";"     1.8";"        207%";"          48%";"             1’668";"              942";"             1’053";"           77.004%";"               10’580";"    14’107"
"1";"    1";"           11.82";"            8.85";"          16’488";"          22’011";"       6’137";"            2.96";"      14’107";"      9’315";"            614";"          1’411";"      1’863";"     2.4";"        156%";"          64%";"             1’668";"            1’249";"             1’396";"             33.5%";"               14’125";"    18’833"
"2";"    2";"           14.10";"           11.82";"          22’011";"          26’265";"       4’726";"            2.28";"      18’833";"      9’315";"            473";"          1’883";"      1’863";"     2.8";"        139%";"          72%";"             1’668";"            1’398";"             1’561";"             19.3%";"               16’854";"    22’472"
"3";"200";"           17.78";"           14.10";"          33’314";"          42’017";"       9’670";"            3.68";"      28’503";"     16’364";"            967";"          2’850";"      2’363";"     3.6";"        147%";"          68%";"             2’116";"            1’677";"             1’874";"           26.125%";"               26’962";"    35’950"
"0";"100";"            8.83";"            5.00";"           9’315";"          16’453";"       7’931";"            3.83";"       7’931";"      9’315";"            793";"            793";"      1’863";"     1.8";"        207%";"          48%";"             1’651";"              935";"             1’055";"           76.626%";"               10’506";"    14’008"
"1";"    1";"           11.77";"            8.83";"          16’453";"          21’922";"       6’077";"            2.94";"      14’008";"      9’315";"            608";"          1’401";"      1’863";"     2.4";"        156%";"          64%";"             1’651";"            1’239";"             1’398";"             33.2%";"               13’998";"    18’664"
"2";"200";"           15.45";"           11.77";"          27’806";"          36’505";"       9’666";"            3.68";"      23’674";"     15’199";"            967";"          2’367";"      2’363";"     3.1";"        154%";"          65%";"             2’095";"            1’595";"             1’800";"           31.286%";"               23’310";"    31’080"
"0";"100";"            8.81";"            5.00";"           9’315";"          16’418";"       7’893";"            3.81";"       7’893";"      9’315";"            789";"            789";"      1’863";"     1.8";"        208%";"          48%";"             1’635";"              928";"             1’057";"           76.257%";"               10’433";"    13’911"
"1";"    1";"           11.72";"            8.81";"          16’418";"          21’835";"       6’019";"            2.91";"      13’911";"      9’315";"            602";"          1’391";"      1’863";"     2.3";"        157%";"          64%";"             1’635";"            1’229";"             1’401";"             33.0%";"               13’876";"    18’501"
"2";"200";"           15.36";"           11.72";"          27’695";"          36’295";"       9’555";"            3.64";"      23’466";"     15’175";"            956";"          2’347";"      2’363";"     3.1";"        155%";"          65%";"             2’074";"            1’582";"             1’803";"           31.050%";"               23’064";"    30’753"
"0";"100";"            8.79";"            5.00";"           9’315";"          16’383";"       7’853";"            3.79";"       7’853";"      9’315";"            785";"            785";"      1’863";"     1.8";"        209%";"          48%";"             1’618";"              920";"             1’059";"           75.879%";"               10’359";"    13’813"
"1";"    1";"           11.67";"            8.79";"          16’383";"          21’746";"       5’959";"            2.88";"      13’813";"      9’315";"            596";"          1’381";"      1’863";"     2.3";"        157%";"          64%";"             1’618";"            1’219";"             1’404";"             32.7%";"               13’751";"    18’334"
"2";"200";"           15.27";"           11.67";"          27’583";"          36’081";"       9’442";"            3.60";"      23’255";"     15’151";"            944";"          2’326";"      2’363";"     3.1";"        155%";"          64%";"             2’053";"            1’569";"             1’806";"           30.810%";"               22’815";"    30’420"
"0";"100";"            8.78";"            5.00";"           9’315";"          16’349";"       7’815";"            3.78";"       7’815";"      9’315";"            782";"            782";"      1’863";"     1.8";"        209%";"          48%";"             1’602";"              913";"             1’061";"           75.510%";"               10’287";"    13’717"
"1";"    1";"           11.63";"            8.78";"          16’349";"          21’660";"       5’901";"            2.85";"      13’717";"      9’315";"            590";"          1’372";"      1’863";"     2.3";"        158%";"          63%";"             1’602";"            1’209";"             1’406";"             32.5%";"               13’630";"    18’173"
"2";"200";"           15.18";"           11.63";"          27’473";"          35’873";"       9’333";"            3.55";"      23’050";"     15’128";"            933";"          2’305";"      2’363";"     3.0";"        156%";"          64%";"             2’032";"            1’556";"             1’810";"           30.575%";"               22’573";"    30’098"
"0";"100";"            8.76";"            5.00";"           9’315";"          16’314";"       7’777";"            3.76";"       7’777";"      9’315";"            778";"            778";"      1’863";"     1.8";"        210%";"          48%";"             1’586";"              906";"             1’064";"           75.141%";"               10’216";"    13’621"
"1";"    1";"           11.58";"            8.76";"          16’314";"          21’574";"       5’844";"            2.82";"      13’621";"      9’315";"            584";"          1’362";"      1’863";"     2.3";"        158%";"          63%";"             1’586";"            1’200";"             1’409";"             32.2%";"               13’509";"    18’012"
"2";"200";"           15.09";"           11.58";"          27’364";"          35’667";"       9’225";"            3.51";"      22’846";"     15’105";"            923";"          2’285";"      2’363";"     3.0";"        156%";"          64%";"             2’012";"            1’544";"             1’813";"           30.342%";"               22’333";"    29’778"
"0";"100";"            8.74";"            5.00";"           9’315";"          16’280";"       7’739";"            3.74";"       7’739";"      9’315";"            774";"            774";"      1’863";"     1.7";"        210%";"          48%";"             1’570";"              899";"             1’066";"           74.772%";"               10’144";"    13’525"
"1";"    1";"           11.53";"            8.74";"          16’280";"          21’488";"       5’787";"            2.80";"      13’525";"      9’315";"            579";"          1’353";"      1’863";"     2.3";"        159%";"          63%";"             1’570";"            1’190";"             1’411";"             32.0%";"               13’389";"    17’852"
"2";"200";"           15.01";"           11.53";"          27’255";"          35’461";"       9’118";"            3.47";"      22’643";"     15’082";"            912";"          2’264";"      2’363";"     3.0";"        157%";"          64%";"             1’992";"            1’531";"             1’816";"           30.109%";"               22’096";"    29’461"
"0";"100";"            8.72";"            5.00";"           9’315";"          16’246";"       7’702";"            3.72";"       7’702";"      9’315";"            770";"            770";"      1’863";"     1.7";"        211%";"          47%";"             1’555";"              891";"             1’068";"           74.412%";"               10’074";"    13’433"
"1";"    1";"           11.49";"            8.72";"          16’246";"          21’404";"       5’731";"            2.77";"      13’433";"      9’315";"            573";"          1’343";"      1’863";"     2.3";"        159%";"          63%";"             1’555";"            1’180";"             1’414";"             31.7%";"               13’273";"    17’697"
"2";"200";"           14.92";"           11.49";"          27’149";"          35’262";"       9’014";"            3.43";"      22’447";"     15’060";"            901";"          2’245";"      2’363";"     3.0";"        157%";"          64%";"             1’972";"            1’518";"             1’819";"           29.882%";"               21’866";"    29’154"
"0";"100";"            8.70";"            5.00";"           9’315";"          16’213";"       7’664";"            3.70";"       7’664";"      9’315";"            766";"            766";"      1’863";"     1.7";"        212%";"          47%";"             1’539";"              884";"             1’070";"           74.052%";"               10’005";"    13’340"
"1";"    1";"           11.44";"            8.70";"          16’213";"          21’321";"       5’676";"            2.74";"      13’340";"      9’315";"            568";"          1’334";"      1’863";"     2.3";"        160%";"          63%";"             1’539";"            1’170";"             1’417";"             31.5%";"               13’157";"    17’543"
"2";"200";"           14.84";"           11.44";"          27’043";"          35’063";"       8’911";"            3.39";"      22’251";"     15’037";"            891";"          2’225";"      2’363";"     3.0";"        158%";"          63%";"             1’952";"            1’506";"             1’823";"           29.656%";"               21’638";"    28’850"
"0";"100";"            8.69";"            5.00";"           9’315";"          16’180";"       7’628";"            3.69";"       7’628";"      9’315";"            763";"            763";"      1’863";"     1.7";"        212%";"          47%";"             1’524";"              877";"             1’073";"           73.701%";"                9’938";"    13’250"
"1";"    1";"           11.40";"            8.69";"          16’180";"          21’240";"       5’622";"            2.72";"      13’250";"      9’315";"            562";"          1’325";"      1’863";"     2.3";"        160%";"          62%";"             1’524";"            1’161";"             1’419";"             31.3%";"               13’045";"    17’393"
"2";"200";"           14.76";"           11.40";"          26’940";"          34’871";"       8’812";"            3.36";"      22’062";"     15’015";"            881";"          2’206";"      2’363";"     3.0";"        158%";"          63%";"             1’933";"            1’493";"             1’826";"           29.437%";"               21’417";"    28’556"
"0";"100";"            8.67";"            5.00";"           9’315";"          16’146";"       7’590";"            3.67";"       7’590";"      9’315";"            759";"            759";"      1’863";"     1.7";"        213%";"          47%";"             1’509";"              870";"             1’075";"           73.332%";"                9’867";"    13’156"
"1";"    1";"           11.36";"            8.67";"          16’146";"          21’155";"       5’566";"            2.69";"      13’156";"      9’315";"            557";"          1’316";"      1’863";"     2.3";"        161%";"          62%";"             1’509";"            1’151";"             1’422";"             31.0%";"               12’928";"    17’237"
"2";"200";"           14.67";"           11.36";"          26’833";"          34’670";"       8’708";"            3.32";"      21’863";"     14’993";"            871";"          2’186";"      2’363";"     2.9";"        159%";"          63%";"             1’913";"            1’481";"             1’829";"           29.207%";"               21’187";"    28’249"
"0";"100";"            8.65";"            5.00";"           9’315";"          16’113";"       7’554";"            3.65";"       7’554";"      9’315";"            755";"            755";"      1’863";"     1.7";"        213%";"          47%";"             1’493";"              863";"             1’077";"           72.981%";"                9’800";"    13’066"
"1";"    1";"           11.31";"            8.65";"          16’113";"          21’075";"       5’513";"            2.66";"      13’066";"      9’315";"            551";"          1’307";"      1’863";"     2.3";"        161%";"          62%";"             1’493";"            1’142";"             1’424";"             30.8%";"               12’817";"    17’089"
"2";"200";"           14.59";"           11.31";"          26’731";"          34’479";"       8’610";"            3.28";"      21’676";"     14’971";"            861";"          2’168";"      2’363";"     2.9";"        159%";"          63%";"             1’894";"            1’469";"             1’832";"           28.988%";"               20’969";"    27’959"
"0";"100";"            8.63";"            5.00";"           9’315";"          16’080";"       7’516";"            3.63";"       7’516";"      9’315";"            752";"            752";"      1’863";"     1.7";"        214%";"          47%";"             1’479";"              857";"             1’079";"           72.621%";"                9’731";"    12’975"
"1";"    1";"           11.27";"            8.63";"          16’080";"          20’992";"       5’458";"            2.64";"      12’975";"      9’315";"            546";"          1’297";"      1’863";"     2.3";"        162%";"          62%";"             1’479";"            1’133";"             1’427";"             30.6%";"               12’704";"    16’939"
"2";"200";"           14.51";"           11.27";"          26’626";"          34’285";"       8’510";"            3.24";"      21’485";"     14’949";"            851";"          2’148";"      2’363";"     2.9";"        160%";"          63%";"             1’875";"            1’456";"             1’835";"           28.765%";"               20’749";"    27’665"
"0";"100";"            8.61";"            5.00";"           9’315";"          16’048";"       7’481";"            3.61";"       7’481";"      9’315";"            748";"            748";"      1’863";"     1.7";"        215%";"          47%";"             1’464";"              850";"             1’081";"           72.279%";"                9’666";"    12’888"
"1";"    1";"           11.23";"            8.61";"          16’048";"          20’914";"       5’407";"            2.61";"      12’888";"      9’315";"            541";"          1’289";"      1’863";"     2.2";"        162%";"          62%";"             1’464";"            1’123";"             1’430";"             30.3%";"               12’597";"    16’796"
"2";"200";"           14.43";"           11.23";"          26’527";"          34’102";"       8’416";"            3.21";"      21’304";"     14’928";"            842";"          2’130";"      2’363";"     2.9";"        160%";"          62%";"             1’857";"            1’444";"             1’838";"           28.553%";"               20’540";"    27’387"
"0";"100";"            8.60";"            5.00";"           9’315";"          16’015";"       7’445";"            3.60";"       7’445";"      9’315";"            744";"            744";"      1’863";"     1.7";"        215%";"          46%";"             1’449";"              843";"             1’084";"           71.928%";"                9’599";"    12’799"
"1";"    1";"           11.18";"            8.60";"          16’015";"          20’834";"       5’355";"            2.59";"      12’799";"      9’315";"            535";"          1’280";"      1’863";"     2.2";"        163%";"          61%";"             1’449";"            1’114";"             1’432";"             30.1%";"               12’488";"    16’651"
"2";"200";"           14.35";"           11.18";"          26’426";"          33’914";"       8’320";"            3.17";"      21’120";"     14’907";"            832";"          2’112";"      2’363";"     2.9";"        161%";"          62%";"             1’838";"            1’432";"             1’841";"           28.337%";"               20’328";"    27’104"
"0";"100";"            8.59";"            5.00";"           9’315";"          16’008";"       7’436";"            3.59";"       7’436";"      9’315";"            744";"            744";"      1’863";"     1.7";"        215%";"          46%";"             1’435";"              835";"             1’084";"           71.847%";"                9’584";"    12’779"
"1";"    1";"           11.17";"            8.59";"          16’008";"          20’816";"       5’343";"            2.58";"      12’779";"      9’315";"            534";"          1’278";"      1’863";"     2.2";"        163%";"          61%";"             1’435";"            1’103";"             1’433";"             30.0%";"               12’463";"    16’617"
"2";"200";"           14.33";"           11.17";"          26’403";"          33’871";"       8’298";"            3.16";"      21’077";"     14’902";"            830";"          2’108";"      2’363";"     2.9";"        161%";"          62%";"             1’820";"            1’418";"             1’842";"           28.287%";"               20’280";"    27’039"
"0";"100";"            8.58";"            5.00";"           9’315";"          15’976";"       7’401";"            3.58";"       7’401";"      9’315";"            740";"            740";"      1’863";"     1.7";"        216%";"          46%";"             1’420";"              828";"             1’086";"           71.505%";"                9’520";"    12’693"
"1";"    1";"           11.13";"            8.58";"          15’976";"          20’738";"       5’292";"            2.56";"      12’693";"      9’315";"            529";"          1’269";"      1’863";"     2.2";"        163%";"          61%";"             1’420";"            1’094";"             1’435";"             29.8%";"               12’358";"    16’477"
"2";"200";"           14.26";"           11.13";"          26’304";"          33’690";"       8’206";"            3.13";"      20’899";"     14’881";"            821";"          2’090";"      2’363";"     2.9";"        161%";"          62%";"             1’801";"            1’407";"             1’845";"           28.077%";"               20’075";"    26’767"
"0";"100";"            8.56";"            5.00";"           9’315";"          15’944";"       7’365";"            3.56";"       7’365";"      9’315";"            737";"            737";"      1’863";"     1.7";"        216%";"          46%";"             1’406";"              821";"             1’088";"           71.163%";"                9’455";"    12’607"
"1";"    1";"           11.09";"            8.56";"          15’944";"          20’661";"       5’241";"            2.53";"      12’607";"      9’315";"            524";"          1’261";"      1’863";"     2.2";"        164%";"          61%";"             1’406";"            1’085";"             1’438";"             29.6%";"               12’253";"    16’337"
"2";"200";"           14.18";"           11.09";"          26’206";"          33’509";"       8’114";"            3.09";"      20’721";"     14’860";"            811";"          2’072";"      2’363";"     2.8";"        162%";"          62%";"             1’783";"            1’395";"             1’848";"           27.868%";"               19’872";"    26’496"
"0";"100";"            8.54";"            5.00";"           9’315";"          15’912";"       7’330";"            3.54";"       7’330";"      9’315";"            733";"            733";"      1’863";"     1.7";"        217%";"          46%";"             1’392";"              815";"             1’091";"           70.821%";"                9’391";"    12’521"
"1";"    1";"           11.05";"            8.54";"          15’912";"          20’584";"       5’191";"            2.51";"      12’521";"      9’315";"            519";"          1’252";"      1’863";"     2.2";"        164%";"          61%";"             1’392";"            1’076";"             1’440";"             29.4%";"               12’148";"    16’198"
"2";"200";"           14.10";"           11.05";"          26’108";"          33’330";"       8’024";"            3.06";"      20’545";"     14’839";"            802";"          2’054";"      2’363";"     2.8";"        162%";"          62%";"             1’766";"            1’383";"             1’851";"           27.659%";"               19’670";"    26’227"
"0";"100";"            8.52";"            5.00";"           9’315";"          15’881";"       7’296";"            3.52";"       7’296";"      9’315";"            730";"            730";"      1’863";"     1.7";"        218%";"          46%";"             1’378";"              808";"             1’093";"           70.488%";"                9’328";"    12’438"
"1";"    1";"           11.01";"            8.52";"          15’881";"          20’509";"       5’142";"            2.48";"      12’438";"      9’315";"            514";"          1’244";"      1’863";"     2.2";"        165%";"          61%";"             1’378";"            1’067";"             1’443";"             29.1%";"               12’047";"    16’063"
"2";"200";"           14.03";"           11.01";"          26’014";"          33’156";"       7’936";"            3.02";"      20’374";"     14’819";"            794";"          2’037";"      2’363";"     2.8";"        163%";"          61%";"             1’748";"            1’371";"             1’854";"           27.456%";"               19’476";"    25’968"
"0";"100";"            8.51";"            5.00";"           9’315";"          15’849";"       7’260";"            3.51";"       7’260";"      9’315";"            726";"            726";"      1’863";"     1.7";"        218%";"          46%";"             1’364";"              802";"             1’095";"           70.146%";"                9’265";"    12’353"
"1";"    1";"           10.97";"            8.51";"          15’849";"          20’433";"       5’093";"            2.46";"      12’353";"      9’315";"            509";"          1’235";"      1’863";"     2.2";"        165%";"          60%";"             1’364";"            1’058";"             1’445";"             28.9%";"               11’944";"    15’925"
"2";"200";"           13.96";"           10.97";"          25’916";"          32’978";"       7’846";"            2.99";"      20’199";"     14’799";"            785";"          2’020";"      2’363";"     2.8";"        163%";"          61%";"             1’730";"            1’360";"             1’857";"           27.248%";"               19’277";"    25’703"
"0";"100";"            8.49";"            5.00";"           9’315";"          15’818";"       7’226";"            3.49";"       7’226";"      9’315";"            723";"            723";"      1’863";"     1.7";"        219%";"          46%";"             1’351";"              795";"             1’097";"           69.813%";"                9’203";"    12’270"
"1";"    1";"           10.93";"            8.49";"          15’818";"          20’358";"       5’044";"            2.44";"      12’270";"      9’315";"            504";"          1’227";"      1’863";"     2.2";"        166%";"          60%";"             1’351";"            1’049";"             1’448";"             28.7%";"               11’844";"    15’792"
"2";"200";"           13.88";"           10.93";"          25’822";"          32’806";"       7’760";"            2.96";"      20’030";"     14’779";"            776";"          2’003";"      2’363";"     2.8";"        164%";"          61%";"             1’713";"            1’348";"             1’860";"           27.047%";"               19’086";"    25’447"
"0";"100";"            8.47";"            5.00";"           9’315";"          15’788";"       7’192";"            3.47";"       7’192";"      9’315";"            719";"            719";"      1’863";"     1.7";"        220%";"          46%";"             1’337";"              789";"             1’099";"           69.489%";"                9’142";"    12’190"
"1";"    1";"           10.89";"            8.47";"          15’788";"          20’286";"       4’998";"            2.41";"      12’190";"      9’315";"            500";"          1’219";"      1’863";"     2.2";"        166%";"          60%";"             1’337";"            1’041";"             1’450";"             28.5%";"               11’747";"    15’663"
"2";"200";"           13.81";"           10.89";"          25’730";"          32’639";"       7’676";"            2.92";"      19’866";"     14’759";"            768";"          1’987";"      2’363";"     2.8";"        164%";"          61%";"             1’696";"            1’337";"             1’863";"           26.851%";"               18’900";"    25’201"
"0";"100";"            8.46";"            5.00";"           9’315";"          15’757";"       7’158";"            3.46";"       7’158";"      9’315";"            716";"            716";"      1’863";"     1.7";"        220%";"          45%";"             1’324";"              783";"             1’101";"           69.156%";"                9’081";"    12’108"
"1";"    1";"           10.85";"            8.46";"          15’757";"          20’212";"       4’950";"            2.39";"      12’108";"      9’315";"            495";"          1’211";"      1’863";"     2.2";"        167%";"          60%";"             1’324";"            1’032";"             1’452";"             28.3%";"               11’648";"    15’531"
"2";"200";"           13.74";"           10.85";"          25’636";"          32’469";"       7’591";"            2.89";"      19’699";"     14’740";"            759";"          1’970";"      2’363";"     2.7";"        165%";"          61%";"             1’679";"            1’326";"             1’866";"           26.651%";"               18’712";"    24’949"
"0";"100";"            8.43";"            5.00";"           9’315";"          15’702";"       7’097";"            3.43";"       7’097";"      9’315";"            710";"            710";"      1’863";"     1.7";"        221%";"          45%";"             1’311";"              777";"             1’105";"           68.571%";"                8’973";"    11’964"
"1";"    1";"           10.78";"            8.43";"          15’702";"          20’082";"       4’867";"            2.35";"      11’964";"      9’315";"            487";"          1’196";"      1’863";"     2.2";"        168%";"          60%";"             1’311";"            1’025";"             1’457";"             27.9%";"               11’476";"    15’301"
"2";"200";"           13.61";"           10.78";"          25’472";"          32’171";"       7’444";"            2.84";"      19’407";"     14’705";"            744";"          1’941";"      2’363";"     2.7";"        166%";"          60%";"             1’662";"            1’316";"             1’871";"           26.300%";"               18’383";"    24’511"
